NIT,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,id_razon_social,id_supervisor
800215920,Bogotá - Cundinamarca,CUNDINAMARCA,MOSQUERA-CUNDINAMARCA,4731,COMERCIO,$0.03,$0.00,$0.06,$0.01,$0.05,2021,10236,1
860518862,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8010,SERVICIOS,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5394,5
890115555,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4290,CONSTRUCCIÓN,$0.03,$0.00,$0.02,$0.01,$0.01,2021,3704,1
890001208,Eje Cafetero,QUINDIO,ARMENIA-QUINDIO,4511,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5199,1
822000422,Otros,META,VILLAVICENCIO-META,1031,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5799,1
805014222,Costa Pacífica,VALLE,YUMBO-VALLE,4645,COMERCIO,$0.03,$0.00,$0.03,$0.01,$0.01,2021,5056,1
860524282,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2395,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,4864,1
900401824,Costa Atlántica,SUCRE,SINCE-SUCRE-SUCRE,7820,SERVICIOS,$0.03,$0.00,$0.00,$0.00,$0.00,2021,5193,1
890320876,Costa Pacífica,VALLE,CALI-VALLE,145,AGROPECUARIO,$0.03,$0.00,$0.02,$0.01,$0.01,2021,4637,1
900033549,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4649,COMERCIO,$0.03,$0.00,$0.03,$0.03,$0.00,2021,4831,1
900400222,Bogotá - Cundinamarca,CUNDINAMARCA,MADRID-CUNDINAMARCA,3290,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,4872,1
805026286,Costa Pacífica,VALLE,CALI-VALLE,4663,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.01,2021,6199,1
900336649,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4290,CONSTRUCCIÓN,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5930,1
811005628,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4772,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5534,1
811018242,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4663,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.00,2021,5905,1
800128867,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4690,COMERCIO,$0.03,$0.00,$0.03,$0.01,$0.01,2021,5563,1
805019855,Costa Pacífica,VALLE,CALI-VALLE,4641,COMERCIO,$0.03,$0.00,$0.03,$0.01,$0.01,2021,5644,1
892400420,Costa Atlántica,SAN ANDRES Y PROVIDENCIA,SAN ANDRES-SAN ANDRES Y PROVIDENCIA,4663,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5455,1
800094791,Costa Atlántica,MAGDALENA,SANTA MARTA-MAGDALENA,122,AGROPECUARIO,$0.03,$0.00,$0.05,$0.03,$0.02,2021,5935,1
811037236,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4390,CONSTRUCCIÓN,$0.03,$0.00,$0.01,$0.01,$0.00,2021,6542,1
890306162,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7310,SERVICIOS,$0.03,$0.00,$0.03,$0.02,$0.01,2021,5343,1
